DATE,FLIGHT_NUM,WAY,HAUL,PLANE,TEAM,NUMBER,START,END
20170620,934,Departure,Long,77W,ASA,3,9:55:00,11:25:00
20170620,934,Departure,Long,77W,POLY,1,9:40:00,11:25:00
20170620,934,Departure,Long,77W,POLY,1,9:55:00,11:25:00
20170620,934,Departure,Long,77W,RZA,1,9:40:00,11:30:00
20170620,943,Arrival,Long,77W,ASA,2,13:25:00,14:20:00
20170620,943,Arrival,Long,77W,POLY,2,13:25:00,14:20:00
20170620,943,Arrival,Long,77W,RZA,1,13:25:00,14:20:00
20170620,946,Departure,Long,77W,ASA,3,14:45:00,16:15:00
20170620,946,Departure,Long,77W,POLY,1,14:30:00,16:15:00
20170620,946,Departure,Long,77W,POLY,1,14:45:00,16:15:00
20170620,946,Departure,Long,77W,RZA,1,14:30:00,16:20:00
20170620,953,Arrival,Long,772,ASA,2,6:15:00,7:10:00
20170620,953,Arrival,Long,772,POLY,2,6:15:00,7:10:00
20170620,953,Arrival,Long,772,RZA,1,6:15:00,7:10:00
20170620,958,Departure,Long,772,ASA,3,9:25:00,10:55:00
20170620,958,Departure,Long,772,POLY,1,9:10:00,10:55:00
20170620,958,Departure,Long,772,POLY,1,9:25:00,10:55:00
20170620,958,Departure,Long,772,RZA,1,9:10:00,11:00:00
20170620,968,Departure,Long,77W,ASA,3,12:25:00,13:55:00
20170620,968,Departure,Long,77W,POLY,1,12:10:00,13:55:00
20170620,968,Departure,Long,77W,POLY,1,12:25:00,13:55:00
20170620,968,Departure,Long,77W,RZA,1,12:10:00,14:00:00
20170620,976,Departure,Long,77W,ASA,3,9:15:00,10:45:00
20170620,976,Departure,Long,77W,POLY,1,9:00:00,10:45:00
20170620,976,Departure,Long,77W,POLY,1,9:15:00,10:45:00
20170620,976,Departure,Long,77W,RZA,1,9:00:00,10:50:00
20170620,977,Arrival,Long,77W,ASA,2,6:35:00,7:30:00
20170620,977,Arrival,Long,77W,POLY,2,6:35:00,7:30:00
20170620,977,Arrival,Long,77W,RZA,1,6:35:00,7:30:00
20170620,990,Departure,Long,388,ASA,3,22:10:00,23:40:00
20170620,990,Departure,Long,388,POLY,1,21:55:00,23:40:00
20170620,990,Departure,Long,388,POLY,1,22:10:00,23:40:00
20170620,990,Departure,Long,388,RZA,1,21:55:00,23:45:00
20170620,990,Departure,Long,388,POLY,2,23:15:00,23:35:00
20170620,995,Arrival,Long,77W,ASA,2,5:25:00,6:20:00
20170620,995,Arrival,Long,77W,POLY,2,5:25:00,6:20:00
20170620,995,Arrival,Long,77W,RZA,1,5:25:00,6:20:00
20170620,1000,Departure,Moyen,319,POLY,1,6:55:00,7:10:00
20170620,1000,Departure,Moyen,319,RZA,1,5:55:00,7:25:00
20170620,1001,Arrival,Moyen,319,POLY,1,11:55:00,12:10:00
20170620,1001,Arrival,Moyen,319,RZA,1,11:55:00,12:40:00
20170620,1004,Departure,Moyen,321,ASA,1,19:55:00,21:00:00
20170620,1004,Departure,Moyen,321,POLY,2,19:55:00,21:00:00
20170620,1004,Departure,Moyen,321,RZA,1,19:45:00,21:10:00
20170620,1005,Arrival,Moyen,321,POLY,2,8:40:00,10:00:00
20170620,1005,Arrival,Moyen,321,RZA,1,8:35:00,10:10:00
20170620,1005,Arrival,Moyen,321,ASA,1,8:40:00,10:00:00
20170620,1012,Departure,Moyen,318,POLY,1,12:35:00,13:35:00
20170620,1013,Arrival,Moyen,318,POLY,1,17:10:00,17:25:00
20170620,1013,Arrival,Moyen,318,RZA,1,17:10:00,17:55:00
20170620,1023,Arrival,Moyen,320,POLY,2,22:00:00,22:45:00
20170620,1023,Arrival,Moyen,320,RZA,1,22:00:00,22:45:00
20170620,1023,Arrival,Moyen,320,ASA,1,21:55:00,22:35:00
20170620,1024,Departure,Moyen,319,POLY,1,8:45:00,9:55:00
20170620,1025,Arrival,Moyen,319,POLY,1,15:30:00,15:45:00
20170620,1025,Arrival,Moyen,319,RZA,1,15:30:00,16:15:00
20170620,1028,Departure,Moyen,318,POLY,1,20:25:00,21:30:00
20170620,1029,Arrival,Moyen,318,RZA,1,8:20:00,10:00:00
20170620,1032,Departure,Moyen,319,POLY,1,18:30:00,19:35:00
20170620,1033,Arrival,Moyen,319,POLY,1,8:25:00,9:45:00
20170620,1033,Arrival,Moyen,319,RZA,1,8:15:00,10:00:00
20170620,1042,Departure,Moyen,321,ASA,1,17:35:00,18:40:00
20170620,1042,Departure,Moyen,321,POLY,2,17:35:00,18:40:00
20170620,1042,Departure,Moyen,321,RZA,1,17:25:00,18:50:00
20170620,1043,Arrival,Moyen,321,POLY,2,21:30:00,22:15:00
20170620,1043,Arrival,Moyen,321,RZA,1,21:30:00,22:15:00
20170620,1043,Arrival,Moyen,321,ASA,1,21:30:00,22:10:00
20170620,1044,Departure,Moyen,319,POLY,1,8:30:00,9:40:00
20170620,1045,Arrival,Moyen,319,POLY,1,17:55:00,19:10:00
20170620,1045,Arrival,Moyen,319,RZA,1,17:45:00,19:25:00
